Source:,http://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/Search Records.csv,,,,,,,,,,,,,,,,
Hazard ID,File ID,Archived Record Key,LUST Event ID,CS or LUST,Site Name,Address,City,Borough,State,Zip Code,Status,Staff,Landowner,Site Type,Latitude,Longitude,Horizontal Datum
3032,2314.38.004,1.99823E+12,,CSP,ADOT&PF Homer Airport HOT (Kachemak Dr.),2156 Kachemak Drive,Homer,Kenai Peninsula,AK,99603,Cleanup Complete, No Longer Assigned,ADOT&PF - Anchorage,Airport/Airfield,59.639702,-151.485343,WGS84
3745,2100.38.028.31,2.00121E+12,,CSP,AIA Long-Term Parking Lot,Long Term Parking Lot,Anchorage,Anchorage,AK,99502,Cleanup Complete, No Longer Assigned,ADOT&PF - Anchorage,Airport/Airfield,61.17526,-149.97679,WGS84
3771,2620.38.001,2.00125E+12,,CSP,ADOT&PF SREB - Nikolai Airport,Apron on SW End of Runway,Nikolai,Yukon Koyukuk,AK,99691,Cleanup Complete, IC Unit,ADOT&PF  Central Region,Airport/Airfield,63.013333,-154.375,
3813,890.38.013,2.00131E+12,,CSP,NPS Bettles Employee Housing HOT - Bldg 104,Building Number 104,Bettles,Yukon Koyukuk,AK,99726,Cleanup Complete, No Longer Assigned,,Airport/Airfield,66.91588,-151.5185,
4168,335.38.002,1.99936E+12,,CSP,FAA Umiat NDB Beacon,Umiat,Anaktuvuk Pass,North Slope,AK,99721,Cleanup Complete, No Longer Assigned,,Airport/Airfield,69.374167,-152.137222,
4222,350.38.009,200531X126801,,CSP,Barter Island LRRS Refueling Area (CG002),West of Hangar,Kaktovik,North Slope,AK,99747,Cleanup Complete, No Longer Assigned,U.S. Air Force - Elmendorf,Airport/Airfield,70.135797,-143.591262,WGS84
4325,2560.38.011,2.00625E+12,,CSP,Iliamna Airport Runway 17 Jet A Fuel Spill,"Runway 17, Iliamna Airport",Iliamna,Lake and Peninsula,AK,99606,Cleanup Complete, IC Unit,ADOT&PF - Anchorage,Airport/Airfield,59.75343,-154.91452,NAD83
4350,300.38.154,1.98936E+12,,CSP,FAA Deadhorse Facility,"Lot 7A, Block 700, Deadhorse Airport",Deadhorse,North Slope,AK,99734,Cleanup Complete, No Longer Assigned,ADOT&PF - Fairbanks,Airport/Airfield,70.19875,-148.469,
4355,500.38.005,2.00132E+12,,CSP,FAA Selawik Facility,Selawik Airport,Selawik,Northwest Arctic,AK,99770,Cleanup Complete, No Longer Assigned,ADOT&PF - Anchorage,Airport/Airfield,66.601944,-159.989444,
4549,110.38.005,1.99231E+12,,Both,FAA Nenana Station (North),~1 Mile North of Nenana,Nenana,Yukon Koyukuk,AK,99760,Cleanup Complete, No Longer Assigned,Toghotthele Corporation,Airport/Airfield,64.588889,-149.070556,NAD27
4592,620.38.002,1.99332E+12,,CSP,BLM Ungalik Airstrip Drum Spill Site,"Ungalik Airstrip, ~10 Mi ESE of Ungalik",Shaktoolik,Nome,AK,99771,Cleanup Complete, No Longer Assigned,,Airport/Airfield,64.547197,-160.794667,WGS84
4684,890.38.014,1.99131E+12,,CSP,FAA Bettles Station Building 106,Bettles Airport,Bettles,Yukon Koyukuk,AK,99726,Cleanup Complete, No Longer Assigned,,Airport/Airfield,66.915657,-151.515241,WGS84
22886,170.26.006,1.99233E+12,30,LUST,FAA Northway FSS,"Northway Airstrip, Alaska Highway",Northway,Southeast Fairbanks,AK,99764,Cleanup Complete, No Longer Assigned,,Airport/Airfield,62.961505,-141.934024,WGS84
22891,2540.38.001,2.00525E+12,3021,LUST,FAA Dillingham Flight Service Station,Dillingham Airport,Dillingham,Dillingham,AK,99576,Cleanup Complete, No Longer Assigned,Federal Aviation Administration,Airport/Airfield,59.0397,-158.507,NAD83
22915,2100.26.257,1.99021E+12,3025,LUST,Dan's Aircraft Repair,1931 Merrill Field Drive,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,Maggie Wayer,Airport/Airfield,61.214626,-149.844709,WGS84
22927,No file num,1.99322E+12,709,LUST,Nugget Aviation,801 Airport Rd.; ,Palmer,Matanuska Susitna,AK,99645,Cleanup Complete, No Longer Assigned,Nugget Aviation,Airport/Airfield,61.60732,-149.10058,
22957,2245.26.035,1.99322E+12,685,LUST,Woods Air Fuel,Palmer airport; ,Palmer,Matanuska Susitna,AK,99645,Cleanup Complete, No Longer Assigned,Woods Air Fuel,Airport/Airfield,61.58886,-149.093231,NAD83
22970,2100.26.283,2.00321E+12,2922,LUST,Former Big Reds Flying Service,5045 Aircraft DriveLake Hood,Anchorage,Anchorage,AK,99502,Cleanup Complete, No Longer Assigned,State of Alaska - ADOTPF DES-Design / Engineering Svcs,Airport/Airfield,61.177698,-149.968677,NAD83
22987,2100.26.036.19,1.99221E+12,2661,LUST,Lake Hood Tie Down 123,Lake Hood,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,State of Alaska -DOTPF Anchorage International Air,Airport/Airfield,61.175398,-149.949877,NAD83
23087,2215.38.001,1.99424E+12,2970,LUST,FAA Cordova Flight Service Station Building 400,Cordova Airport Building 400,Cordova,Valdez Cordova,AK,99574,Cleanup Complete, No Longer Assigned,Federal Aviation Administration,Airport/Airfield,60.543359,-145.729382,NAD83
23134,2100.26.247,2.00421E+12,3017,LUST,Take Flight Alaska,1740 E. 5th AvenueMerrill Field,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,"Take Flight Alaska, Inc.",Airport/Airfield,61.217098,-149.848722,NAD83
23143,2100.26.259,2.00521E+12,3027,LUST,"Take Flight Alaska, 10,000 gallon 100LL Avgas tank",1740 E. 5th Avenue,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,"Take Flight Alaska, Inc.",Airport/Airfield,61.217199,-149.848694,WGS84
23145,860.26.002,200531X030601,3031,LUST,Galena AFS/Airport - UST 1552 ,Galena,Galena,Yukon Koyukuk,AK,99741,Cleanup Complete, No Longer Assigned,611 CES/CC  Elmendorf AFB,Airport/Airfield,64.7394,-156.951,NAD83
23154,860.26.002,200531X032604,3038,LUST,Galena AFS/Airport - SS017 UST 1556-2,South of the Fire Station Building 1556,Galena,Yukon Koyukuk,AK,99741,Cleanup Complete, No Longer Assigned,Alaska Department of Transportation and Public Facilities,Airport/Airfield,64.7392,-156.9516,NAD83
23162,100.26.193,1.99731E+12,2564,LUST,FIA - Passenger Terminal Building,"North End of ADOT&PF Terminal Building, Fairbanks International Airport",Fairbanks,Fairbanks North Star,AK,99701,Cleanup Complete, No Longer Assigned,State of Alaska - ADOTPF DES-Design / Engineering Svcs,Airport/Airfield,64.81821,-147.86588,WGS84
23174,2100.26.243,2.00021E+12,2583,LUST,Federal Express ANCR Facility,6050 Rockwell Ave,Anchorage,Anchorage,AK,99502,Cleanup Complete, No Longer Assigned,FedEx Express EMD,Airport/Airfield,61.189698,-149.997077,NAD83
23186,400.26.012,2.00032E+12,2608,LUST,Alaska Airlines - Nome Terminal,Seppala Drive - Airport Access Road,Nome,Nome,AK,99762,Cleanup Complete, No Longer Assigned,Alaska Airlines,Airport/Airfield,64.507819,-165.441963,WGS84
23203,2540.26.001,1.99225E+12,665,LUST,Armstrong Air,Dillingham Airport; ,Dillingham,Dillingham,AK,99576,Cleanup Complete, No Longer Assigned,"Peninsula Airways, Inc",Airport/Airfield,59.039703,-158.457397,NAD27
23216,2538.26.002,1.99225E+12,677,LUST,Peninsula Airways Cold Bay Airport UST #1,Cold Bay Airport; ,Cold Bay,Aleutians East,AK,99571,Cleanup Complete, No Longer Assigned,"Peninsula Airways, Inc.",Airport/Airfield,55.202566,-162.7193,WGS84
23282,2100.26.201,2.00021E+12,2457,LUST,Aero Center Partnership,900 Merrill Field Drive,Anchorage,Anchorage,AK,99501,Cleanup Complete, IC Unit,Municipality of Anchorage - Merrill Field,Airport/Airfield,61.213798,-149.850077,NAD83
23308,1513.26.046,1.99811E+12,2319,LUST,Delta Western Juneau Airport Fuel Storage,9203 Cessna Drive; Juneau International Airport,Juneau,Juneau,AK,99801,Cleanup Complete, No Longer Assigned,,Airport/Airfield,58.362327,-134.588998,WGS84
23319,2100.26.460,1.99921E+12,2387,LUST,F.S. Air Service,6121 South Air Park,Anchorage,Anchorage,AK,99507,Cleanup Complete, No Longer Assigned,Ross Anchorage LLC,Airport/Airfield,61.165459,-149.985837,
23348,200.26.005,1.99333E+12,37,LUST,NPS Eagle Airport Ramp - Yukon-Charley Rivers National Preserve,Eagle Airport; ,Eagle,Southeast Fairbanks,AK,99738,Cleanup Complete, No Longer Assigned,"Department of the Interior, National Park Service",Airport/Airfield,64.777285,-141.155329,WGS84
23352,480.26.001,1.99433E+12,40,LUST,BLM Fire Service Dahl Creek,Dahl Creek; ,Kobuk,Northwest Arctic,AK,99751,Cleanup Complete, No Longer Assigned,ADOT&PF Airport Leasing,Airport/Airfield,66.944573,-156.907977,WGS84
23373,890.38.002,None,3066,LUST,FAA Bettles UST# 46-C-03 Building 400,Bettles Airport,Bettles,Yukon Koyukuk,AK,99726,Cleanup Complete, No Longer Assigned,Federal Aviation Administration,Airport/Airfield,66.917878,-151.519929,NAD83
23523,2569.26.007,1.99425E+12,796,LUST,Trident Seafoods - King Salmon,"Lot 1 Blk 100, K.S. Airpt; ",King Salmon,Bristol Bay,AK,99613,Cleanup Complete, No Longer Assigned,Trident Seafoods Corporation,Airport/Airfield,58.688324,-156.661377,NAD27
23686,2100.26.160,1.99421E+12,406,LUST,ERA Helicopters - Aviation Center - Blue Hanger,6160 Carl Brady Drive; ,Anchorage,Anchorage,AK,99502,Cleanup Complete, No Longer Assigned,"ERA FBO, LLC",Airport/Airfield,61.163254,-149.98134,WGS84
23702,2100.26.407,1.99521E+12,428,LUST,Lake Hood Associates Jill Hillborn,4111 Floatplane Dr.; Lake Hood,Anchorage,Anchorage,AK,99502,Cleanup Complete, No Longer Assigned,Continental Real Estate - Walt H,Airport/Airfield,61.183286,-149.969242,WGS84
23706,2100.26.170,1.99621E+12,461,LUST,Rust's Flying Service - Lake Hood,4525 Enstrom Circle; ,Anchorage,Anchorage,AK,99519,Cleanup Complete, No Longer Assigned,Rusts Flying Service Inc.,Airport/Airfield,61.178992,-149.970826,WGS84
23718,2100.26.485,1.99621E+12,471,LUST,Vern Air,1704 E. 5th Ave.; ,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,Ulmer Rentals,Airport/Airfield,61.217048,-149.850785,WGS84
23751,2320.26.005,1.98923E+12,518,LUST,Enstar Natural Gas Company-Beaver Creek,Mi. 7.5 Marathon Rd.; ,,,AK,,Cleanup Complete,Robert Burgess,ENSTAR Natural Gas Company,Airport/Airfield,60.624331,-151.11493,WGS84
23813,2100.26.036.19,1.99221E+12,1450,LUST,Lake Hood Tie Down 82,Lake Hood,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,Herbert R. Niemoth/bill Ivy,Airport/Airfield,61.179055,-149.973581,
23823,2100.26.036.07,1.98921E+12,97,LUST,AIA Troy Air,4305 Int'l. Airport Rd.; ,Anchorage,Anchorage,AK,99502,Cleanup Complete, IC Unit,Troy Air Inc,Airport/Airfield,61.174708,-149.967429,NAD83
23883,2100.26.036.13,1.99821E+12,2819,LUST,AIA Tank #22,Safety Building,Anchorage,Anchorage,AK,99501,Cleanup Complete, IC Unit,State of Alaska -DOTPF Anchorage International Air,Airport/Airfield,61.182438,-149.996737,NAD83
23908,2100.38.147,1.99121E+12,237,LUST,FAA - Flight Inspection Field Office,4620 Old Int'l Airport Rd.; ,Anchorage,Anchorage,AK,99502,Cleanup Complete, No Longer Assigned,Federal Aviation Administration,Airport/Airfield,61.173908,-149.970999,NAD83
23924,2100.38.028.08,1.99121E+12,250,LUST,MarkAir Facility (Former),6311 South Airpark Place; ,Anchorage,Anchorage,AK,99503,Cleanup Complete, IC Unit,State of Alaska -DOTPF Anchorage International Air,Airport/Airfield,61.163488,-149.986319,NAD83
23936,2100.26.146,1.99121E+12,257,LUST,ERA Helicopters Merrill Field Facility,2555 Merrill Field;,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,"ERA FBO, LLC",Airport/Airfield,61.214859,-149.833312,NAD83
